,Price per sqft,Price,Area,No. of Bedrooms,New/Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,24x7 Security,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool,Average_price_per_sq_ft,Andheri,Badlapur,Boisar,Borivali,Chembur,Dahisar,Dombivli,Ghatkopar,Goregaon,Kalyan,Kamothe,Kandivali,Kharghar,Malad,Mira Road,Mulund,Naigaon,Nala Sopara,Panvel,Parle,Powai,Taloja,Thane,Ulwe,Vasai,Virar
188,7910.44776119403,5300000,670,1,0,1,1,1,1,1,0,1,0,1,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
189,10298.10298102981,19000000,1845,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
190,9642.857142857143,13500000,1400,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
191,8095.238095238095,13600000,1680,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
192,9422.492401215806,15500000,1645,3,0,1,1,1,1,1,0,1,1,0,0,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
193,10410.094637223974,16500000,1585,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
194,6370.37037037037,8600000,1350,2,0,0,1,1,1,1,0,0,1,1,0,0,0,0,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
195,9302.32558139535,10000000,1075,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
196,9090.90909090909,10500000,1155,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,7520.0,4700000,625,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1,11533.325208517459,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
